City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,praia da vitoria,38.7333,-27.0667,16.14,67,20,12.86,PT,1734485707
1,vorgashor,67.5833,63.95,-24.98,100,98,3.11,RU,1734485708
2,hobyo,5.3505,48.5268,24.69,74,91,9.61,SO,1734485710
3,iqaluit,63.7506,-68.5145,-25.15,62,75,2.57,CA,1734485412
4,stanley,54.868,-1.6985,11.01,91,75,7.72,GB,1734485631
5,blackmans bay,-43.0167,147.3167,21.4,47,0,1.34,AU,1734485713
6,smithers,54.7804,-127.1743,-5.82,68,100,6.69,CA,1734485601
7,hawaiian paradise park,19.5933,-154.9731,27.71,79,75,5.66,US,1734485716
8,albany,42.6001,-73.9662,5.36,73,21,0.45,US,1734485494
9,grytviken,-54.2811,-36.5092,-0.46,84,20,5.23,GS,1734485718
10,mar del plata,-38.0023,-57.5575,18.94,90,0,4.63,AR,1734485310
11,colonia,50.9333,6.95,7.2,87,0,5.66,DE,1734485721
12,shingu,33.7333,135.9833,9.97,43,100,3.61,JP,1734485722
13,cockburn town,21.4612,-71.1419,26.03,82,14,11.75,TC,1734485723
14,carutapera,-1.195,-46.02,26.63,82,20,3.93,BR,1734485725
15,waitangi,-43.9535,-176.5597,14.34,93,100,3.58,NZ,1734485726
16,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,55,75,9.0,RU,1734485727
17,barcelos,41.5388,-8.6151,13.61,87,100,2.8,PT,1734485728
18,tsiombe,-25.3,45.4833,22.88,87,100,1.13,MG,1734485730
19,anadyr,64.75,177.4833,-11.72,72,75,12.0,RU,1734485731
20,adamstown,-25.066,-130.1015,21.63,64,1,5.61,PN,1734485732
21,guerrero negro,27.9769,-114.0611,15.25,81,0,4.12,MX,1734485734
22,nar'yan-mar,67.6713,53.087,-19.26,81,24,4.05,RU,1734485735
23,tamanrasset,22.785,5.5228,8.95,29,0,7.72,DZ,1734485736
24,arraial do cabo,-22.9661,-42.0278,23.49,86,50,4.27,BR,1734485737
25,quellon,-43.1167,-73.6167,11.92,96,100,2.95,CL,1734485739
26,nova sintra,14.8667,-24.7167,26.0,70,53,1.73,CV,1734485740
27,wuwei,37.9281,102.6414,-7.29,59,100,0.9,CN,1734485741
28,lethem,3.3803,-59.7968,25.25,86,98,4.0,GY,1734485742
29,isafjordur,66.0755,-23.124,-5.05,93,78,1.12,IS,1734485744
30,kuqa,41.7278,82.9364,-12.59,85,5,1.21,CN,1734485745
31,iskateley,67.6803,53.1512,-19.26,82,24,4.06,RU,1734485746
32,horta,38.5333,-28.6333,16.68,77,89,11.18,PT,1734485747
33,saint-francois,46.4154,3.9054,3.69,100,100,1.54,FR,1734485749
34,bethel,41.3712,-73.414,9.5,70,100,0.89,US,1734485713
35,trapani,37.8333,12.6667,11.82,89,0,2.42,IT,1734485751
36,thinadhoo,0.5333,72.9333,27.84,77,23,7.49,MV,1734485752
37,kapuskasing,49.4169,-82.4331,-4.95,100,100,4.63,CA,1734485753
38,haeju,38.0406,125.7147,-3.71,42,1,3.31,KP,1734485755
39,ushuaia,-54.8,-68.3,11.81,40,40,7.2,AR,1734485675
40,san patricio,28.017,-97.5169,22.97,81,29,3.89,US,1734485757
41,wailua homesteads,22.0669,-159.378,27.29,71,0,6.69,US,1734485759
42,felege neway,6.3,36.8833,17.54,59,33,0.88,ET,1734485760
43,bilibino,68.0546,166.4372,-25.28,100,100,1.48,RU,1734485761
44,puerto ayora,-0.7393,-90.3518,22.54,84,10,3.1,EC,1734485762
45,yellowknife,62.456,-114.3525,-30.88,90,0,2.57,CA,1734485718
46,happy valley-goose bay,53.3168,-60.3315,2.17,87,100,5.14,CA,1734485765
47,puerto natales,-51.7236,-72.4875,7.25,81,40,9.77,CL,1734485467
48,kyzyl-mazhalyk,51.1333,90.6,-25.62,90,60,0.1,RU,1734485767
49,st. john's,47.5649,-52.7093,2.86,84,75,6.17,CA,1734485752
50,new norfolk,-42.7826,147.0587,22.06,29,0,3.12,AU,1734485770
51,papatowai,-46.5619,169.4708,20.71,48,100,4.69,NZ,1734485771
52,egersund,58.4513,5.9997,7.78,97,100,9.7,NO,1734485772
53,labytnangi,66.6572,66.4183,-25.6,95,20,1.81,RU,1734485773
54,talnakh,69.4865,88.3972,-13.81,93,100,8.05,RU,1734485775
55,invercargill,-46.4,168.35,21.75,35,100,4.02,NZ,1734485776
56,utrik,11.2278,169.8474,27.17,77,51,11.12,MH,1734485777
57,copala,16.65,-98.9833,24.71,79,3,1.28,MX,1734485778
58,ormara,25.2088,64.6357,20.44,32,12,3.25,PK,1734485780
59,jeddah,21.5169,39.2192,23.92,53,0,0.0,SA,1734485781
60,omachi,36.5,137.8667,0.63,89,99,1.9,JP,1734485783
61,mishelevka,52.8575,103.1719,-12.85,96,100,0.47,RU,1734485785
62,ilulissat,69.2167,-51.1,-8.99,62,100,8.23,GL,1734485786
63,saint-pierre,-21.3393,55.4781,22.82,64,0,3.09,RE,1734485787
64,la passe,45.5549,-0.8967,8.39,66,70,4.17,FR,1734485788
65,sokoni,-6.4333,39.55,26.68,76,6,1.51,TZ,1734485791
66,gumdag,39.2061,54.5906,5.75,88,8,4.03,TM,1734485792
67,fale old settlement,-9.3852,-171.2468,27.1,83,100,7.26,TK,1734485793
68,novyy urengoy,66.0833,76.6333,-7.92,94,100,5.57,RU,1734485354
69,tiksi,71.6872,128.8694,-18.33,86,100,4.68,RU,1734485705
70,avarua,-21.2078,-159.775,27.03,89,100,5.66,CK,1734485797
71,port-aux-francais,-49.35,70.2167,5.7,84,68,12.92,TF,1734485798
72,guarda,40.5373,-7.2658,3.57,81,6,2.95,PT,1734485799
73,vilyuchinsk,52.9306,158.4028,1.15,86,100,4.9,RU,1734485801
74,qaqortoq,60.7167,-46.0333,-8.86,74,100,3.74,GL,1734485802
75,dudinka,69.4058,86.1778,-6.96,94,100,11.02,RU,1734485803
76,singkawang,0.9,109.0,27.99,80,76,0.21,ID,1734485807
77,lebu,-37.6167,-73.65,13.36,86,3,7.41,CL,1734485638
78,san jose del guaviare,2.5729,-72.6459,22.21,95,95,0.35,CO,1734485654
79,tocopilla,-22.092,-70.1979,19.66,76,87,3.9,CL,1734485811
80,noumea,-22.2763,166.4572,26.56,68,94,7.92,NC,1734485812
81,coari,-4.085,-63.1414,23.87,97,95,1.0,BR,1734485813
82,aasiaat,68.7098,-52.8699,-14.57,89,95,2.9,GL,1734485814
83,touros,-5.1989,-35.4608,26.2,81,100,4.82,BR,1734485815
